age,fl 
2,53.41726619
2,49.25625
2,47.25
2,44.06557377
2,48.90510949
2,62.3438914
2,39.52542373
2,38.63076923
2,65.21481481
2,56.95566502
2,56.41071429
2,51.875
2,49.03783784
2,47.42384106
2,50.69767442
2,50.16201117
2,48.96666667
2,51.49253731
2,38.70194384
2,50.37765957
2,58.18548387
2,52.26519337
2,54.07854985
2,40
2,51.26153846
2,43.69230769
2,49.7
2,45.90909091
2,46.6875
2,47.74468085
2,41.98440546
2,51.29032258
2,52.36585366
2,45.70625
2,61.66483516
2,49.24137931
2,62.91285081
2,48.56470588
2,44.80625
2,56.31284916
2,60.4609375
2,45.61403509
2,53.65853659
2,44.29357798
2,38.79699248
2,45.71428571
2,27.74566474
2,53.69565217
2,51.4587156
2,48.18181818
2,54.75
2,33.76630435
2,43.94067797
2,44.62702703
2,61.33333333
2,58.4375
2,51.06
2,43.01234568
2,71.52941176
2,44.19047619
2,58.28502415
2,46.35416667
2,45.03187251
2,47.4
2,50.1037037
2,49.54639175
2,51.6
2,40.50761421
2,39.76296296
2,41.31736527
2,40.6125
2,42.21854305
2,39.23026316
2,32.35555556
2,45.28695652
2,40.52597403
2,34.46808511
2,40.57324841
2,43.41899441
2,45.78947368
2,54.16666667
2,31.76724138
2,52.60273973
2,41.064
2,46.70391061
2,45.66906475
2,58.97021277
2,52.272
2,47.88461538
2,28.96341463
2,55.37662338
2,43.29931973
2,39.11811024
2,32.16981132
2,40.61111111
2,40.98387097
2,41.53333333
2,47.88965517
2,35.904
2,40.44736842
2,53.53303965
2,47.98561151
2,42.82119205
2,42.35526316
2,29.84293194
2,43.56578947
2,44.77339901
2,26.15384615
2,45.77419355
2,34.34532374
2,54.47619048
2,56.8
2,65.94230769
2,61.44162437
2,45.26923077
2,48.53389831
2,38.72519084
2,34
2,43.69273743
2,31.60305344
2,44.17322835
2,27.1030303
2,59.5546875
2,48.81656805
2,42.71851852
2,54.38848921
2,37.06153846
2,48.12765957
2,33.17266187
2,47.81578947
2,48.76328502
2,34.94871795
2,63.88148148
2,44.23913043
2,32.08695652
2,51.44230769
2,46.57553957
2,30.8125
2,30.22155689
2,35.86592179
2,53.09836066
2,59.60377358
2,53.76142132
2,36.89873418
2,43.03381643
2,38.04371585
2,62.20118343
2,41.3164557
2,23.65384615
2,39.31034483
2,38.00961538
2,48.94326241
2,38.52238806
2,41.36170213
2,27.104
2,36.07526882
2,47.56
2,46.67832168
2,33.94074074
2,30.8034188
2,52.14285714
2,42.20930233
2,40.96153846
2,34.75757576
2,32.296875
2,29.859375
2,43.85430464
2,50.58139535
2,43.23846154
2,43.68269231
2,38.9047619
2,46.65714286
2,31.33333333
2,43.27272727
2,33.45517241
2,29.33333333
2,28.48837209
2,41.21212121
2,24.93630573
2,31.5
2,35.13333333
2,31.41304348
2,20.28169014
2,40.05755396
2,20.41791045
2,28.58571429
2,35.50684932
2,27.20300752
2,45.8358209
2,44.3902439
2,46.51724138
2,46.36624204
2,47.5
2,36
2,45.03787879
2,43.33333333
2,33.72727273
2,48.21428571
2,37.32038835
2,45.6
2,43.58992806
2,49.51456311
2,46.2585034
2,51.12295082
2,53.68421053
2,35.87341772
2,42.5915493
2,39.50381679
2,42.96491228
2,40.8440367
2,45.88495575
2,42.75714286
2,39.03947368
2,42.5915493
2,46.72566372
2,41.17293233
2,40.65420561
2,46.20754717
2,41.66666667
2,44.36153846
2,46.42307692
2,47.88990826
2,42.74137931
2,32.08849558
2,55.33333333
2,44.92173913
2,29.21446384
2,50.4
2,30
2,53.65079365
2,45.43356643
2,50.42477876
3,56.75880759
3,40.87878788
3,47.44347826
3,61.41666667
3,50.31914894
3,47.51515152
3,53.57480315
3,53.01818182
3,55.55357143
3,48.40909091
3,51.8974359
3,52.34234234
3,53.79617834
3,40.96551724
3,61.18110236
3,53.49019608
3,49
3,57.6
3,49.248
3,49.93396226
3,52.31578947
3,56.10218978
3,53.71428571
3,62.86111111
3,37.40123457
3,51.02521008
3,41.66666667
3,48.97959184
3,52.67175573
3,46.06837607
3,44.375
3,42.7734375
3,56.18181818
3,64.1971831
3,53.32258065
3,39.32608696
3,46.11111111
3,53.23026316
3,49.11016949
3,49.67883212
3,61.69491525
3,58.50819672
3,56.13114754
3,51.9202454
3,41.77099237
3,60.16883117
3,56.0952381
3,46.39830508
3,53.21649485
3,43.3125
3,68.38461538
3,53.42446043
3,35.03478261
3,55.08849558
3,36.7804878
3,44.05384615
3,60.22325581
3,56.81632653
3,57.57823129
3,54.8590604
3,57.8440367
3,51.33333333
3,59.2
3,51.47928994
3,64.35
3,57.63758389
3,66.27272727
3,63.30143541
3,53.16339869
3,51.26956522
3,53.7414966
3,71.77777778
3,55.85714286
3,57.32222222
3,53.3164557
3,71.84761905
3,54.11864407
3,34.62295082
3,64.21192053
3,54.32575758
3,69.23076923
3,61.61081081
3,64.66666667
3,51.77981651
3,61.82417582
3,61.54929577
3,64.00952381
3,47.70149254
3,53.76344086
3,65.53053435
3,64.14545455
3,60.5
3,57.38157895
3,55.51724138
3,39.36809816
3,56.72456576
3,53.20529801
3,62.98648649
3,58.59303882
3,49.26315789
3,62.92207792
3,52.14516129
3,72.17486339
3,52.875
3,63.37209302
3,68.37209302
3,61.16312057
3,53.03867403
3,44
3,60.34682081
3,56.68141593
3,63.55862069
3,60.2970297
3,52.03571429
3,69.6969697
3,62.64116576
3,69.27272727
3,63.64848485
3,60.44444444
3,73.36666667
3,71.05681818
3,76.41509434
3,51.77419355
3,71.16666667
3,52.27272727
3,65.88944724
3,64.23668639
3,63.72413793
3,53.86666667
3,44.79194631
3,58.41121495
3,54.89583333
3,50.5
3,47.54887218
3,60.34090909
3,55.52884615
3,53.09469697
3,68.65671642
3,52.60115607
3,61.05
3,58.50649351
3,63.1294964
3,59.6625
3,54.46875
3,51.93442623
3,59.8540146
3,67.60180995
3,45.81355932
3,49.36153846
3,73.48148148
3,68.06896552
3,66.85714286
3,60.625
3,59.54594595
3,64.05298013
3,60.8372093
3,61.84357542
3,54.99333333
3,67.1641791
3,54.73866091
3,57.57446809
3,65.34677419
3,61.38121547
3,68.58006042
3,44
3,59.63076923
3,57.34615385
3,59.64
3,56.5034965
3,56.25
3,59.31914894
3,54.24951267
3,64.96774194
3,63.3902439
3,59.225
3,68.75274725
3,56.86206897
3,75.13146233
3,59.94705882
3,59.51875
3,66.2849162
3,69.828125
3,53.59649123
3,60.63414634
3,49.90825688
3,46.91729323
3,56.57142857
3,37.71676301
3,61.30434783
3,66.44036697
3,54.37662338
3,59.25
3,51.14311594
3,50.66101695
3,55.00540541
3,71.11111111
3,66
3,60.495
3,57.77777778
3,84.59728507
3,53.02857143
3,69.32850242
3,54.80092593
3,52.62151394
3,59.4
3,61.31111111
3,57.89690722
3,60.6
3,46.29441624
3,49.54074074
3,48.95209581
3,49.875
3,49.66887417
3,43.91447368
3,36.71111111
3,54.7826087
3,48.22077922
3,42.12765957
3,48.68789809
3,57.02793296
3,54.47368421
3,61.11111111
3,43.89655172
3,61.91780822
3,46.632
3,62.62569832
3,52.28776978
3,69.75744681
3,59.4
3,57.69230769
3,48.65853659
3,64.83116883
3,49.76190476
3,49.98425197
3,42.54716981
3,53.15277778
3,53.75806452
3,54.94782609
3,60.71724138
3,42.24
3,46.02631579
3,60.2246696
3,60.39568345
3,51.24503311
3,50.36842105
3,35.07853403
3,57.24342105
3,53.58128079
3,34.20118343
3,56.17741935
3,39.33093525
3,60.66666667
3,67.2
3,75.71153846
3,71.10659898
3,51.44230769
3,53.45762712
3,48.23664122
3,38.66666667
3,56.96648045
3,48.77862595
3,51.53543307
3,34.4
3,77.34375
3,58.57988166
3,56.23703704
3,64.74820144
3,50.76923077
3,55.31914894
3,38.8057554
3,55.07894737
3,54.73429952
3,54.83333333
3,71.86666667
3,52.01086957
3,52.43478261
3,60.35897436
3,53.30935252
3,41.6875
3,46.8742515
3,44.23463687
3,63.85245902
3,66.22641509
3,63.42639594
3,48.97468354
3,53.79227053
3,42.55737705
3,71.70414201
3,49.06329114
3,43.26923077
3,44.82758621
3,45.09615385
3,56.24822695
3,47.15671642
3,48.25531915
3,43.12
3,47.31182796
3,58
3,56.01398601
3,43.88888889
3,49.98290598
3,61.18095238
